[2026-04-12 04:33:15] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1956 | PulsemV=1651 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.80 GY=5.44 GZ=-0.15 | Temp=32.32 | Frame=365
[2026-04-12 04:33:15] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1955 | PulsemV=1650 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.80 GY=5.29 GZ=-0.18 | Temp=32.31 | Frame=366
[2026-04-12 04:33:16] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1956 | PulsemV=1651 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=2.61 GY=5.15 GZ=-0.24 | Temp=32.32 | Frame=367
[2026-04-12 04:33:16] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1963 | PulsemV=1656 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.77 GY=5.41 GZ=-0.03 | Temp=32.33 | Frame=368
[2026-04-12 04:33:17] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1957 | PulsemV=1652 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=3.17 GY=5.23 GZ=-0.14 | Temp=32.32 | Frame=369
[2026-04-12 04:33:17] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1965 | PulsemV=1657 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=3.02 GY=5.30 GZ=-0.17 | Temp=32.33 | Frame=370
[2026-04-12 04:33:18] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1971 | PulsemV=1664 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=2.86 GY=5.28 GZ=-0.14 | Temp=32.33 | Frame=371
[2026-04-12 04:33:18] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1959 | PulsemV=1654 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.98 GY=5.30 GZ=-0.22 | Temp=32.30 | Frame=372
[2026-04-12 04:33:19] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1948 | PulsemV=1644 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=2.72 GY=5.25 GZ=-0.27 | Temp=32.35 | Frame=373
[2026-04-12 04:33:19] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1961 | PulsemV=1654 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.98 GY=5.17 GZ=-0.14 | Temp=32.35 | Frame=374
[2026-04-12 04:33:20] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1955 | PulsemV=1650 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.89 GY=5.07 GZ=-0.35 | Temp=32.31 | Frame=375
[2026-04-12 04:33:20] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1957 | PulsemV=1652 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=2.95 GY=5.39 GZ=-0.11 | Temp=32.33 | Frame=376
[2026-04-12 04:33:21] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1959 | PulsemV=1654 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=3.01 GY=5.30 GZ=-0.09 | Temp=32.33 | Frame=377
[2026-04-12 04:33:21] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1968 | PulsemV=1661 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=3.00 GY=5.15 GZ=-0.12 | Temp=32.30 | Frame=378
[2026-04-12 04:33:22] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1970 | PulsemV=1662 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.96 GY=5.28 GZ=-0.33 | Temp=32.32 | Frame=379
[2026-04-12 04:33:22] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1955 | PulsemV=1650 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.90 GY=5.28 GZ=-0.09 | Temp=32.33 | Frame=380
[2026-04-12 04:33:23] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1957 | PulsemV=1652 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.85 GY=5.25 GZ=-0.32 | Temp=32.33 | Frame=381
[2026-04-12 04:33:23] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1957 | PulsemV=1652 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=3.03 GY=5.32 GZ=-0.16 | Temp=32.35 | Frame=382
[2026-04-12 04:33:24] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1959 | PulsemV=1654 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=3.06 GY=5.16 GZ=-0.16 | Temp=32.34 | Frame=383
[2026-04-12 04:33:24] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1963 | PulsemV=1656 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=2.73 GY=5.38 GZ=-0.20 | Temp=32.33 | Frame=384
[2026-04-12 04:33:25] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1961 | PulsemV=1654 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=3.03 GY=5.16 GZ=-0.10 | Temp=32.33 | Frame=385
[2026-04-12 04:33:25] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1958 | PulsemV=1652 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=3.08 GY=5.29 GZ=-0.20 | Temp=32.34 | Frame=386
[2026-04-12 04:33:26] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1979 | PulsemV=1670 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.92 GY=5.34 GZ=-0.16 | Temp=32.37 | Frame=387
[2026-04-12 04:33:26] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1959 | PulsemV=1654 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.83 GY=5.09 GZ=-0.20 | Temp=32.34 | Frame=388
[2026-04-12 04:33:27] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1959 | PulsemV=1654 | AX=-0.07 AY=0.04 AZ=-0.50 | GX=2.73 GY=5.32 GZ=-0.22 | Temp=32.36 | Frame=389
[2026-04-12 04:33:27] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1949 | PulsemV=1644 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=2.54 GY=5.62 GZ=-0.10 | Temp=32.35 | Frame=390
[2026-04-12 04:33:28] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1950 | PulsemV=1646 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.77 GY=5.27 GZ=-0.02 | Temp=32.34 | Frame=391
[2026-04-12 04:33:28] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1951 | PulsemV=1646 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.82 GY=5.31 GZ=-0.25 | Temp=32.36 | Frame=392
[2026-04-12 04:33:29] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1959 | PulsemV=1654 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=3.06 GY=5.38 GZ=-0.06 | Temp=32.35 | Frame=393
